system:index,CBI,def,dmirbi,dndvi,lat,post_mirbi,rbr,unique_id,.geo
00000000000000001d38,1.24,144.0,49.0,-49.0,30.0,2907.0,-50.0,4944.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d39,1.15,144.0,56.0,-36.0,30.0,2864.0,-37.0,4945.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3a,1.0,144.0,19.0,-31.0,30.0,2898.0,-30.0,4946.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3b,1.0,144.0,55.0,25.0,30.0,2830.0,-34.0,4947.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3c,1.21,144.0,140.0,0.0,30.0,2806.0,-44.0,4948.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3d,0.86,144.0,-17.0,-18.0,30.0,2942.0,-28.0,4949.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3e,1.02,144.0,-7.0,-16.0,30.0,2984.0,-9.0,4950.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d3f,1.02,144.0,-46.0,-37.0,30.0,2913.0,-49.0,4951.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d40,0.74,144.0,108.0,-57.0,30.0,2892.0,-53.0,4952.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d41,0.83,144.0,15.0,-60.0,30.0,2903.0,-86.0,4953.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d44,1.93,144.0,28.0,-36.0,30.0,2901.0,9.0,4956.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d45,1.78,144.0,65.0,-63.0,30.0,2872.0,-11.0,4957.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d58,1.68,144.0,127.0,28.0,30.0,2996.0,61.0,4976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d62,0.54,144.0,70.0,-92.0,30.0,2911.0,-30.0,4986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d63,1.18,144.0,150.0,10.0,30.0,2866.0,-2.0,4987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d64,0.61,144.0,112.0,-31.0,30.0,2921.0,-5.0,4988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d7d,0.75,144.0,64.0,-36.0,30.0,2920.0,12.0,5013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc2,1.32,144.0,115.0,102.0,30.0,3048.0,96.0,5082.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc3,1.23,144.0,57.0,86.0,30.0,2962.0,83.0,5083.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc4,1.23,144.0,95.0,25.0,30.0,2831.0,6.0,5084.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc5,1.4,144.0,-39.0,13.0,30.0,2958.0,27.0,5085.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dca,1.11,144.0,267.0,132.0,30.0,3117.0,91.0,5090.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dcb,1.69,144.0,158.0,147.0,30.0,3062.0,136.0,5091.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dcc,1.42,144.0,69.0,128.0,30.0,2994.0,111.0,5092.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dd9,1.15,144.0,11.0,137.0,30.0,2976.0,129.0,5105.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dda,1.42,144.0,-51.0,216.0,30.0,3012.0,165.0,5106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ddb,1.06,144.0,88.0,146.0,30.0,3100.0,141.0,5107.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ddc,0.86,144.0,-76.0,108.0,30.0,3146.0,80.0,5108.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de5,0.93,144.0,201.0,103.0,30.0,2967.0,109.0,5117.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de6,0.74,144.0,9.0,95.0,30.0,3012.0,76.0,5118.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de7,0.79,144.0,218.0,113.0,30.0,2827.0,87.0,5119.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de8,1.04,144.0,198.0,110.0,30.0,2732.0,83.0,5120.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e04,0.58,144.0,217.0,123.0,30.0,3000.0,118.0,5148.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e05,0.73,144.0,51.0,96.0,30.0,2974.0,78.0,5149.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001e06,0.88,144.0,207.0,120.0,30.0,2844.0,96.0,5150.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc7,1.86,145.0,14.0,129.0,30.0,2955.0,170.0,5087.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc8,1.99,145.0,132.0,97.0,30.0,3071.0,91.0,5088.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc9,1.63,145.0,212.0,131.0,30.0,2944.0,91.0,5089.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dcd,1.4,145.0,111.0,129.0,30.0,2954.0,153.0,5093.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dce,1.58,145.0,208.0,152.0,30.0,2968.0,101.0,5094.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001ddf,1.31,145.0,-59.0,116.0,30.0,2951.0,173.0,5111.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de0,1.25,145.0,20.0,87.0,30.0,2955.0,106.0,5112.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de1,1.35,145.0,79.0,102.0,30.0,2856.0,142.0,5113.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de2,1.28,145.0,93.0,165.0,30.0,2992.0,181.0,5114.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001de3,1.15,145.0,157.0,172.0,30.0,2997.0,154.0,5115.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df8,1.21,145.0,-58.0,136.0,30.0,2893.0,190.0,5136.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df9,1.38,145.0,74.0,114.0,30.0,2945.0,136.0,5137.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dfa,1.19,145.0,65.0,103.0,30.0,2865.0,147.0,5138.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dfb,1.34,145.0,216.0,94.0,30.0,2874.0,130.0,5139.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2b,1.07,146.0,128.0,41.0,30.0,2809.0,84.0,4931.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2e,1.54,146.0,-58.0,-67.0,30.0,2758.0,-41.0,4934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d2f,1.7,146.0,3.0,-33.0,30.0,2774.0,-22.0,4935.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d31,2.11,146.0,-48.0,-32.0,30.0,2798.0,9.0,4937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d32,1.99,146.0,-54.0,-42.0,30.0,2824.0,1.0,4938.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d36,1.65,146.0,-2.0,-65.0,30.0,2866.0,-62.0,4942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d37,1.72,146.0,-33.0,-64.0,30.0,2877.0,-61.0,4943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d90,1.51,146.0,191.0,-41.0,30.0,2840.0,9.0,5032.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dc6,1.65,146.0,19.0,135.0,30.0,2874.0,175.0,5086.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001dde,1.19,146.0,-97.0,138.0,30.0,2874.0,180.0,5110.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001df7,1.14,146.0,33.0,129.0,30.0,2874.0,145.0,5135.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001d27,1.96,147.0,41.0,231.0,30.0,2843.0,255.0,4927.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
